Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,0.1,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,10.1,0.2,1.2,2.2,3.2,4.2,5.2,6.2,7.2,8.2,9.2,10.2,0.3,1.3,2.3,3.3,4.3,5.3,6.3,7.3,8.3,9.3,10.3,0.4,1.4,2.4,3.4,4.4,5.4,6.4,7.4,8.4,9.4,10.4,0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,0.6,1.6,2.6,3.6,4.6,5.6,6.6,7.6,8.6,9.6,10.6,0,1,2,3,4,5,6,7,8,9,10
49.0,,Orange Holiday Zen,8.0,14.0,2.5,29.9,Yes,🇦🇽 Aland Islands,View Details,https://orange-zen.simoptions.com/?utm_medium=wpam_id_355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,Global (140+ areas),6.0,15.0,4.98,29.9,Not included,🇦🇽 Aland Islands,View Details,https://esim.redteago.com?shortCode=plsqtd2yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,,Global (100+ countries) eSim 6GB,6.0,15.0,8.33,50.0,Not included,🇦🇽 Aland Islands,View Details,https://etravelsim.com/products/copy-of-argentina?variant=42293275492533&aff=7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,,Europe & UK eSIM,15.0,30.0,2.67,40.0,Yes,🇦🇽 Aland Islands,View Details,https://simify.com/collections/esim?ref=esimradar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,,Europe & UK eSIM,30.0,30.0,1.67,50.0,Yes,🇦🇽 Aland Islands,View Details,https://simify.com/collections/esim?ref=esimradar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,My European eSIM,30.0,30.0,1.38,41.5,Yes,🇦🇽 Aland Islands,View Details,https://esimradar.com/bouygues-telecom-esims/,https://bouygues-telecom.simoptions.com/?utm_medium=wpam_id_355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,My European eSIM Travel Basic,15.0,15.0,1.13,16.9,not included,🇦🇽 Aland Islands,View Details,https://esimradar.com/bouygues-telecom-esims/,https://bouygues-telecom.simoptions.com/travel-basic/?utm_medium=wpam_id_355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,My European eSIM Travel Basic+,15.0,15.0,1.33,19.9,Yes,🇦🇽 Aland Islands,View Details,https://esimradar.com/bouygues-telecom-esims/,https://bouygues-telecom.simoptions.com/travel-basic-plus/?utm_medium=wpam_id_355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Local Aland Islands – 7 Days – 1GB,1.0,7.0,4.2,4.2,not included,🇦🇽 Aland Islands,View Details,https://esimradar.com/manet-mobile-esims/,https://manet.travel/esimradar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Global – 7 Days – 1GB,1.0,7.0,19.36,19.36,not included,🇦🇽 Aland Islands,View Details,https://esimradar.com/manet-mobile-esims/,https://manet.travel/esimradar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
